"ages","c","s","w"
18,3e-06,0,5e-06
19,3e-06,0,5e-06
20,3e-06,0,5e-06
21,3e-06,0,5e-06
22,3e-06,0,5e-06
23,3e-06,0,5e-06
24,3e-06,0,5e-06
25,2.1e-05,0,1.2e-05
26,2.1e-05,0,1.2e-05
27,2.1e-05,0,1.2e-05
28,2.1e-05,0,1.2e-05
29,2.1e-05,0,1.2e-05
30,2.1e-05,0,1.2e-05
31,2.1e-05,0,1.2e-05
32,2.1e-05,0,1.2e-05
33,2.1e-05,0,1.2e-05
34,2.1e-05,0,1.2e-05
35,0.000173,0,3.9e-05
36,0.000173,0,3.9e-05
37,0.000173,0,3.9e-05
38,0.000173,0,3.9e-05
39,0.000173,0,3.9e-05
40,0.000173,0,3.9e-05
41,0.000173,0,3.9e-05
42,0.000173,0,3.9e-05
43,0.000173,0,3.9e-05
44,0.000173,0,3.9e-05
45,0.000457,0,9.4e-05
46,0.000457,0,9.4e-05
47,0.000457,0,9.4e-05
48,0.000457,0,9.4e-05
49,0.000457,0,9.4e-05
50,0.000775,0,0.000173
51,0.000775,0,0.000173
52,0.000775,0,0.000173
53,0.000775,0,0.000173
54,0.000775,0,0.000173
55,0.00116,0,0.000333
56,0.00116,0,0.000333
57,0.00116,0,0.000333
58,0.00116,0,0.000333
59,0.00116,0,0.000333
60,0.001637,0,0.000601
61,0.001637,0,0.000601
62,0.001637,0,0.000601
63,0.001637,0,0.000601
64,0.001637,0,0.000601
65,0.002344,0,0.001184
66,0.002344,0,0.001184
67,0.002344,0,0.001184
68,0.002344,0,0.001184
69,0.002344,0,0.001184
70,0.003454,0,0.00217
71,0.003454,0,0.00217
72,0.003454,0,0.00217
73,0.003454,0,0.00217
74,0.003454,0,0.00217
75,0.004334,0,0.003191
76,0.004334,0,0.003191
77,0.004334,0,0.003191
78,0.004334,0,0.003191
79,0.004334,0,0.003191
80,0.004971,0,0.00405
81,0.004971,0,0.00405
82,0.004971,0,0.00405
83,0.004971,0,0.00405
84,0.004971,0,0.00405
85,0.004706,0,0.003816
86,0.004706,0,0.003816
87,0.004706,0,0.003816
88,0.004706,0,0.003816
89,0.004706,0,0.003816
90,0.004706,0,0.003816
91,0.004706,0,0.003816
92,0.004706,0,0.003816
93,0.004706,0,0.003816
94,0.004706,0,0.003816
95,0.004706,0,0.003816
96,0.004706,0,0.003816
97,0.004706,0,0.003816
98,0.004706,0,0.003816
99,0.004706,0,0.003816
100,0.004706,0,0.003816
