"ages","c","s","w"
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0.005,0.005,0.005
56,0.005,0.005,0.005
57,0.005,0.005,0.005
58,0.005,0.005,0.005
59,0.005,0.005,0.005
60,0.005,0.005,0.005
61,0.005,0.005,0.005
62,0.005,0.005,0.005
63,0.005,0.005,0.005
64,0.005,0.005,0.005
65,0.005,0.005,0.005
66,0.005,0.005,0.005
67,0.005,0.005,0.005
68,0.005,0.005,0.005
69,0.005,0.005,0.005
70,0.005,0.005,0.005
71,0.005,0.005,0.005
72,0.005,0.005,0.005
73,0.005,0.005,0.005
74,0.005,0.005,0.005
75,0.005,0.005,0.005
76,0.005,0.005,0.005
77,0.005,0.005,0.005
78,0.005,0.005,0.005
79,0.005,0.005,0.005
80,0.005,0.005,0.005
81,0.005,0.005,0.005
82,0.005,0.005,0.005
83,0.005,0.005,0.005
84,0.005,0.005,0.005
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
